Level;Type;Guid;GroupType;Abbreviations;AbbreviationPrefix;ExpandAt;ExpandAtDelimiters;ExpandAfter;ExpandAfterDelimiters;CaseSensitivity;ApplicationAvailabilityMode;ApplicationAvailabilityApplications;ShowInMenuBar;ShowInMenuBarAtFirstLevel;SuggestAbbreviations;Parameters;ContentType;Text;Html;Label;Tag;Note;ScriptType;ScriptingHost;ScriptWorkingDirectory;FileContent;IsRelative;DateCreated;LastTimeUsed
2;0;6fd9c19b-3602-4361-bd95-58608816bd15;0;^7++;;0;;0;;;0;;False;False;False;;0;⁷;;;;;;;;;;0;0
2;0;1b4c7c55-ea49-4a81-ac15-fa0353b137a9;0;^6++;;0;;0;;;0;;False;False;False;;0;⁶;;;;;;;;;;0;1608789845
2;0;7d1d6ceb-a1ac-4f3d-a2d6-253b4f799193;0;^5++;;0;;0;;;0;;False;False;False;;0;⁵;;;;;;;;;;0;0
2;0;34bcd430-6992-46ae-85bf-0e7e7f65d8aa;0;^1++;;0;;0;;;0;;False;False;False;;0;¹;;;;;;;;;;0;0
2;0;139b7066-f160-4974-90c4-dc648e95ab9e;0;^4++;;0;;0;;;0;;False;False;False;;0;⁴;;;;;;;;;;0;0
2;0;6c2b1137-7a4f-40cc-905e-12575eb9ecbe;0;^3++;;0;;0;;;0;;False;False;False;;0;³;;;;;;;;;;0;1608789714
2;0;a8964e5b-0541-48a8-a582-4c8584b839dd;0;^0++;;0;;0;;0;0;;False;False;False;;0;⁰;;;;;;;;;;0;1608789851
2;0;3657c284-3909-4a8e-b1b9-7a98ac6f464c;0;^2++;;0;;0;;;0;;False;False;False;;0;²;;;;;;;;;;0;1608789883
2;0;6a198130-c783-48c9-9b41-662074db983b;0;-+++;;0;;0;;0;0;;False;False;False;;0;∓;;;;;;;;;;0;1609835219
2;0;86a46325-4abc-4e6c-96f0-7c7e60949979;0;+-++;;0;;0;;0;0;;False;False;False;;0;±;;;;;;;;;;0;1609835186
2;0;02cf367a-caae-433e-997e-5613435989d1;0;\++;;0;;0;;2;0;;False;False;False;;0;√;;;;;;;;;;0;1608572522
2;0;b836cf86-24c6-4886-b1a9-225d5b768c40;0;~=++;;0;;0;;;0;;False;False;False;;0;≈;;;;;;;;;;0;1609835333
